customer_id,account_id,age,account_status_id,income_range,gender_id,occupation_id,marital_status_id,state_id,disbursement_amount,financing_term,payment_amount,total_call,call_successful,call_unsuccessful,ptp_count,ptp_broken,ptp_kept,month_in_areas,total_arrears_amount,total_outstanding_amount,current_balance_amount,product_type_category_id
1415205,1727870,34,2,5000,4.0,26.0,2.0,9.0,67000.0,120.0,561.0,2,1,1,1,0,1,0,0.0,21031.3,22336.8,2
1586800,1727873,53,2,9000,5.0,45.0,2.0,16.0,39100.0,109.0,2687.0,1,0,1,0,0,0,0,0.0,160550.81,215502.35,1
837633,1727909,43,2,7000,5.0,30.0,2.0,8.0,10000.0,240.0,539.0,5,1,4,1,1,0,0,0.0,50754.09,66287.0,1
1612167,1727932,45,2,3000,5.0,35.0,2.0,16.0,65000.0,134.0,754.0,2,1,1,1,0,1,0,0.0,46630.28,63329.64,1
480172,1728021,40,2,5000,5.0,12.0,2.0,6.0,9680.0,295.0,1000.0,11,1,10,1,1,0,1,1003.39,138551.16,171643.56,1
1191640,1728023,35,2,3000,4.0,10.0,1.0,4.0,20000.0,133.0,1010.0,4,0,4,0,0,0,0,0.0,52397.18,69164.29,1
453495,1728085,41,2,3000,5.0,30.0,2.0,8.0,15000.0,186.0,511.0,10,2,8,2,1,1,0,437.74,33194.43,37759.14,1
467035,1728184,54,2,7000,4.0,45.0,2.0,16.0,31000.0,110.0,1350.0,5,0,5,0,0,0,0,0.0,84885.61,115509.09,1
4167,1728195,51,2,7000,4.0,45.0,2.0,2.0,75000.0,120.0,833.0,5,4,1,4,3,1,0,0.0,59744.39,68143.9,2
1124259,1728226,38,2,3000,4.0,1.0,2.0,16.0,68000.0,136.0,844.0,3,0,3,0,0,0,0,829.76,68178.32,101268.99,1
1131275,1728363,42,2,5000,5.0,38.0,3.0,2.0,42300.0,121.0,737.0,15,3,12,3,3,0,1,1104.8,51523.02,57043.45,2
2122030,1728435,56,2,3000,4.0,5.0,2.0,16.0,5150.0,110.0,572.0,12,0,12,0,0,0,0,0.0,23879.22,28694.71,1
1145638,1728494,47,2,3000,5.0,40.0,3.0,13.0,101900.0,135.0,1063.0,5,1,4,1,1,0,0,0.0,73386.0,103582.9,1
1353257,1728550,33,2,5000,5.0,29.0,2.0,16.0,35500.0,140.0,921.0,2,0,2,0,0,0,0,0.0,63258.21,86820.24,1
1236456,1728563,48,2,5000,4.0,1.0,2.0,14.0,1690.0,135.0,62.0,2,0,2,0,0,0,0,46.8,4941.51,7350.17,1
1636973,1728603,32,2,3000,5.0,29.0,2.0,16.0,58000.0,133.0,369.0,12,0,12,0,0,0,0,253.59,18043.35,22813.39,1
599709,1728709,33,2,3000,4.0,28.0,2.0,16.0,10590.0,140.0,923.0,10,5,5,4,4,0,0,0.0,69109.51,97154.76,1
2127934,1728979,57,2,7000,4.0,26.0,2.0,8.0,2930.0,156.0,680.0,2,0,2,0,0,0,0,2.06,6014.53,6704.56,1
1321667,1728989,38,2,3000,5.0,34.0,1.0,14.0,198000.0,240.0,191.0,1,1,0,0,0,0,5,999.08,17933.22,23462.34,1
129184,1729048,54,2,7000,4.0,45.0,2.0,15.0,70000.0,123.0,1367.0,11,2,9,2,2,0,0,0.0,93108.42,131440.29,1
826555,1729081,37,2,5000,5.0,40.0,2.0,16.0,144000.0,250.0,318.0,1,0,1,0,0,0,0,0.0,36230.42,45744.0,1
